11;"";"0000-00-00 00:00:00";"";"2022-10-01 12:03:00";"";"2022-10-01 12:12:00";"fm1";"A";11;"WRZ 5, WRZ 6";"";"Fu";"";"";"";"";"WRZ4, WRZ5, WRZ6, WRZ7, WRZ8";"f";"";"Erkundung des Sammelraums nach Platz f&uuml;r eine Einsatzeinheit NRW";"2022-10-01 12:03:00";"EAL DLRG WE";"el";"EL";"2022-10-01 12:12:00";"fm1";"S2_rt,EL_gn,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2022-10-01 12:12:16"
12;"Fu";"2022-10-01 12:07:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";12;"WRZ7";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Sammelpatz erkundet. Platz f&uuml;r einen WRZ + Einsatzeinheit";"2022-10-01 00:00:00";"WRZ7";"";"";"2022-10-01 12:07:00";"fm2";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2022-10-01 12:07:17"
13;"Fu";"2022-10-01 12:08:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";13;"WRZ 4";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Erkundung Sammelraum abgeschlossen,\
Platz f&uuml;r 1 WRZ\
";"2022-10-01 12:08:00";"WRZ 4";"";"";"2022-10-01 12:08:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2022-10-01 12:07:52"
14;"Fu";"2022-10-01 12:10:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";14;"WRZ8";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Platz im Bereitsstellungsraum: WRZ8 + ein weiterer";"2022-10-01 12:10:00";"WRZ8";"";"";"2022-10-01 12:10:00";"fm2";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2022-10-01 12:10:03"
15;"Fu";"2022-10-01 12:13:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";15;"WRZ 5, WRZ 6";"";"";"";"";"";"";"EAL DLRG WE  EL";"f";"";"Zitat: von A 11 \
&quot;Erkundung des Sammelraums nach Platz f&uuml;r eine Einsatzeinheit NRW&quot;\
WRZ 6 best&auml;tigt Platz f&uuml;r Einsatzeinheit NRW\
";"2022-10-01 12:13:00";"WRZ4, WRZ5, WRZ6, WRZ7, WRZ8";"el";"EL";"2022-10-01 12:13:00";"fm1";"S2_rt,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2022-10-01 12:13:03"
16;"";"0000-00-00 00:00:00";"";"2022-10-01 12:16:00";"";"2022-10-01 12:24:00";"fm1";"A";16;"WRZ 4";"";"Fu";"";"";"";"";"WRZ 4";"f";"";"Mitteilung von der KooSt:\
Anruf des 2. Bootstrupps der 2. Bootsgruppe, das Zugfahrzeug hat einen Platten und der Trupp wird ca. 40 Minuten sp&auml;ter im Sammelraum eintreffen";"2022-10-01 12:16:00";"EAL DLRG WE";"el";"EL";"2022-10-01 12:24:00";"fm1";"S2_rt,EL_gn,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2022-10-01 12:24:16"
17;"Fu";"2022-10-01 12:17:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";17;"WRZ 4";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 4 gibt UTM Koordinaten durch: 4440205720080";"2022-10-01 12:17:00";"WRZ 4";"";"";"2022-10-01 12:17:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2022-10-01 12:17:13"
18;"Fu";"2022-10-01 12:19:00";"fm1";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";18;"WRZ 5";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"WRZ 5 best&auml;tigt Platz f&uuml;r Einsatzeinheit NRW";"2022-10-01 12:19:00";"WRZ 5";"";"";"2022-10-01 12:19:00";"fm1";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2022-10-01 12:19:45"
19;"Fu";"2022-10-01 12:20:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";19;"WRZ/";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Entreffen am Bereitstellungsraum mit WRZ7 1/10/37//48";"2022-10-01 12:20:00";"WRZ7";"";"";"2022-10-01 12:20:00";"fm2";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2022-10-01 12:19:46"
20;"Fu";"2022-10-01 12:21:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";20;"WRZ8";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Koordinaten: 29U 5532 5723";"2022-10-01 12:21:00";"WRZ8";"";"";"2022-10-01 12:21:00";"fm2";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2022-10-01 12:21:36"
21;"Fu";"2022-10-01 12:25:00";"fm2";"0000-00-00 00:00:00";"";"0000-00-00 00:00:00";"";"E";21;"WRZ4";"";"";"";"";"";"";"EAL DLRG WE";"f";"";"Verlegen zur&uuml;ck in den Sammelraum";"2022-10-01 12:25:00";"WRZ4";"";"";"2022-10-01 12:25:00";"fm2";"S2_rt,EL_bl,UEL_bl,S1S4_bl,S3S6_bl,S5_bl,";"";\N;8;"t";"f";"";"t";"0000-00-00 00:00:00";"2022-10-01 12:25:00"
