1;1;1;"";"";"";"";"f";"f"
2;1;2;"";"";"";"";"f";"f"
3;1;3;"";"";"";"";"f";"f"
4;1;4;"";"";"";"";"f";"f"
5;1;5;"";"";"";"";"f";"f"
6;2;1;"";"";"";"";"f";"f"
7;2;2;"";"";"";"";"f";"f"
8;2;3;"";"";"";"";"f";"f"
9;2;4;"";"";"";"";"f";"f"
10;2;5;"";"";"";"";"f";"f"
11;3;1;"";"";"";"";"f";"f"
12;3;2;"";"";"";"";"f";"f"
13;3;3;"";"";"";"";"f";"f"
14;3;4;"";"";"";"";"f";"f"
15;3;5;"";"";"";"";"f";"f"
16;4;1;"";"";"";"";"f";"f"
17;4;2;"";"";"";"";"f";"f"
18;4;3;"";"";"";"";"f";"f"
19;4;4;"";"";"";"";"f";"f"
20;4;5;"";"";"";"";"f";"f"
