1;"2022-05-25 19:07:00";"Anmelden";"Sichter_1;si1;Si;Stab;59tb590tfbg1pr0mpfrrapdjq5;10.10.13.24"
2;"2022-05-25 19:07:00";"Abmelden";"Sichter_1;si1;Si;Stab;59tb590tfbg1pr0mpfrrapdjq5;10.10.13.24"
3;"2022-05-25 19:09:00";"Anmelden";"FM1;fm1;A/W;Fernmelder;5foeeak2n131oa771ip8udjnp7;10.10.13.24"
4;"2022-05-25 19:09:00";"Abmelden";"FM1;fm1;A/W;Fernmelder;5foeeak2n131oa771ip8udjnp7;10.10.13.24"
5;"2022-05-25 19:10:00";"Funktion Ummelden";"FM1;fm1;A/W;Fernmelder;0475c2u0gd9m41rfgml9fhvcr4;10.10.13.21"
6;"2022-05-25 19:11:00";"Anmelden";"FM2;fm2;EL;Stab;osql81ni6fktv0v24lsslard56;10.10.13.24"
7;"2022-05-25 19:11:00";"Abmelden";"FM2;fm2;EL;Stab;osql81ni6fktv0v24lsslard56;10.10.13.24"
8;"2022-05-25 19:12:00";"Funktion Ummelden";"FM2;fm2;A/W;Fernmelder;jgnleo01jrcvg46bn93mlel5k3;10.10.13.24"
9;"2022-05-25 19:12:00";"Abmelden";"FM2;fm2;A/W;Fernmelder;jgnleo01jrcvg46bn93mlel5k3;10.10.13.24"
10;"2022-05-25 19:12:00";"Anmelden";"FM3;fm3;A/W;Fernmelder;ns13vtddpnjadrobvn7kshrqt3;10.10.13.24"
11;"2022-05-25 19:12:00";"Abmelden";"FM3;fm3;A/W;Fernmelder;ns13vtddpnjadrobvn7kshrqt3;10.10.13.24"
12;"2022-05-25 19:12:00";"Abmelden";"FM1;fm1;A/W;Fernmelder;0475c2u0gd9m41rfgml9fhvcr4;10.10.13.21"
13;"2022-05-25 19:13:00";"Funktion Ummelden";"Sichter_1;si1;Si;Stab;rod22k2c24dmbm5irhkkmme0d0;10.10.13.24"
14;"2022-05-25 20:27:00";"Sessiondaten neu setzen";"Sichter_1;si1;Si;Stab;mqq1ivh6r8ph76firt13itjav4;10.10.13.24"
15;"2022-05-25 20:27:00";"Abmelden";"Sichter_1;si1;Si;Stab;mqq1ivh6r8ph76firt13itjav4;10.10.13.24"
16;"2022-05-25 21:25:00";"Funktion Ummelden";"Sichter_1;si1;Si;Stab;a87mkg9a8o943qt99tccn4enq1;10.10.13.24"
17;"2022-05-25 21:25:00";"Funktion Ummelden";"FM1;fm1;A/W;Fernmelder;ovqr7el1cdhpsfnnimur2b3uu1;10.10.13.21"
18;"2022-05-25 21:36:00";"Abmelden";"FM1;fm1;A/W;Fernmelder;ovqr7el1cdhpsfnnimur2b3uu1;10.10.13.21"
19;"2022-05-25 21:44:00";"Abmelden";"Sichter_1;si1;Si;Stab;a87mkg9a8o943qt99tccn4enq1;10.10.13.24"
20;"2022-05-26 07:09:00";"Funktion Ummelden";"Sichter_1;si1;Si;Stab;pdflej22dbj4nst88gtjj4odv4;10.10.13.24"
21;"2022-05-26 07:09:00";"Anmelden";"Vierhus, Bernd;bvi;S3S6;Stab;j5ojpkle4lise3n78kr3foo300;10.10.13.26"
            `12_abfzeit`      = \"2022-05-26 08:57:00\",\
            `13_abseinheit`   = \"EAL DLRG WE\",\
            `14_zeichen`      = \"bvi\",\
            `14_funktion`     = \"EL\",\
            `16_empf`         = \"S2_rt,EL_gn\",\
            `x00_status`      = \"2\",\
            `x01_abschluss`   = \"f\"; "
32;"2022-05-26 08:58:00";"Stab-schreiben";"INSERT into `lvweestab_nachrichten` SET\
            `02_zeit`         = \"2022-05-26 08:58:00\",\
            `02_zeichen`      = \"\",\
            `04_nummer`       = \"7\",\
            `04_richtung`     = \"A\",\
            `07_durchspruch`  = \"\",\
            `08_befhinweis`   = \"\",\
            `08_befhinwausw`  = \"\",\
            `09_vorrangstufe` = \"eee\",\
            `10_anschrift`    = \"Kreisleitstelle Recklinghausen\",\
            `11_gesprnotiz`   = \"f\",\
            `12_anhang`       = \"\",\
            `12_inhalt`       = \"Information an die Kreisleistelle Recklinghausen: \
\
Bitte 2 Eins&auml;tze im System anlegen:\
\
Einsatz (Szenario) Flaesheim: WRZ 01 2/9/37//48 - Anfahrt &uuml;ber BAB43 \
Abfahrt im Sammelraum D&uuml;lmen 260955Mai2022\
\
Einsatz (Szenario) Silbersee 2: WRZ 09 1/10/37//48 - mit SoSi\
Abfahrt im Sammelraum D&uuml;lmen 261000Mai2022\
\
\",\
            `12_abfzeit`      = \"2022-05-26 08:58:00\",\
            `13_abseinheit`   = \"EAL DLRG WE\",\
            `14_zeichen`      = \"bvi\",\
            `14_funktion`     = \"EL\",\
            `16_empf`         = \"S2_rt,EL_gn\",\
            `x00_status`      = \"2\",\
            `x01_abschluss`   = \"f\"; "
33;"2022-05-26 09:00:00";"FM-Eingang";"INSERT into `lvweestab_nachrichten` SET\
            `01_medium`       = \"Fu\",\
            `01_datum`        = \"2022-05-26 09:00:00\",\
            `01_zeichen`      = \"fm1\",\
            `04_richtung`     = \"E\",\
            `04_nummer`       = \"8\",\
            `05_gegenstelle`  = \"WRZ 2\",\
            `07_durchspruch`  = \"\",\
            `08_befhinweis`   = \"\",\
            `08_befhinwausw`  = \"\",\
            `09_vorrangstufe` = \"\",\
            `10_anschrift`    = \"EAL DLRG WE\",\
            `11_gesprnotiz`   = \"f\",\
            `12_anhang`       = \"\",\
            `12_inhalt`       = \"1/9/33//43\",\
            `12_abfzeit`      = \"2022-05-26 09:00:00\",\
            `13_abseinheit`   = \"WRZ 2\",\
            `14_zeichen`      = \"\",\
            `14_funktion`     = \"\",\
            `16_empf`         = \"S2_rt,\",\
            `x00_status`      = \"4\",\
            `x01_abschluss`   = \"f\";5dsqfupgl1frqgr19v02hoovv1;10.10.13.21"
34;"2022-05-26 09:13:00";"FM-Ausgang";"UPDATE `lvweestab_nachrichten` SET\
            `03_datum`        = \"2022-05-26 09:13:00\",\
            `03_zeichen`      = \"fm2\",\
            `05_gegenstelle`  = \"\",\
            `06_befweg`       = \"\",\
            `06_befwegausw`   = \"\",\
            `x00_status`      = \"4\",\
            `x01_abschluss`   = \"f\",\
            `x02_sperre`      = \"f\",\
            `x03_sperruser`   = \"\"\
             WHERE `00_lfd` = \"5\";u4006j14l9qhijtmiv7iq0gpn4;10.10.13.22"
35;"2022-05-26 09:17:00";"FM-Eingang";"INSERT into `lvweestab_nachrichten` SET\
            `01_medium`       = \"Fe\",\
            `01_datum`        = \"2022-05-26 09:17:00\",\
            `01_zeichen`      = \"fm2\",\
            `04_richtung`     = \"E\",\
            `04_nummer`       = \"9\",\
            `05_gegenstelle`  = \"Leitstelle RE\",\
            `07_durchspruch`  = \"\",\
            `08_befhinweis`   = \"\",\
            `08_befhinwausw`  = \"\",\
            `09_vorrangstufe` = \"\",\
            `10_anschrift`    = \"EAL DLRG WE  EL\",\
            `11_gesprnotiz`   = \"f\",\
            `12_anhang`       = \"\",\
            `12_inhalt`       = \"Leitstelle Recklinghausen &uuml;ber die beiden Eins&auml;tze informiert:\
Einsatznummern:\
\
Szenario 1 Flaesheim: 79973\
\
Szenario 2 Silbersee II: 79974\
\
Rufnummer der KLS RE 02361/93940\
\
Zitat: von A 5 \
&quot;Information an die Kreisleistelle Recklinghausen: \
\
Bitte 2 Eins&auml;tze im System anlegen:\
\
Einsatz (Szenario) Flaesheim: WRZ 01 2/9/37//48 - Anfahrt &uuml;ber BAB43 \
Abfahrt im Sammelraum D&uuml;lmen 260955Mai2022\
\
\
\
Einsatz (Szenario) Silbersee 2: WRZ 09 1/10/37//48 - mit SoSi\
Abfahrt im Sammelraum D&uuml;lmen 261000Mai2022\
\
&quot;\
\",\
            `12_abfzeit`      = \"2022-05-26 09:17:00\",\
            `13_abseinheit`   = \"Kreisleitstelle Recklinghausen\",\
            `14_zeichen`      = \"bvi\",\
            `14_funktion`     = \"EL\",\
            `16_empf`         = \"S2_rt,\",\
            `x00_status`      = \"4\",\
            `x01_abschluss`   = \"f\";u4006j14l9qhijtmiv7iq0gpn4;10.10.13.22"
36;"2022-05-26 09:17:00";"FM-Ausgang";"UPDATE `lvweestab_nachrichten` SET\
            `03_datum`        = \"2022-05-26 09:17:00\",\
            `03_zeichen`      = \"fm2\",\
            `05_gegenstelle`  = \"\",\
            `06_befweg`       = \"\",\
            `06_befwegausw`   = \"\",\
            `x00_status`      = \"4\",\
            `x01_abschluss`   = \"f\",\
            `x02_sperre`      = \"f\",\
            `x03_sperruser`   = \"\"\
             WHERE `00_lfd` = \"6\";u4006j14l9qhijtmiv7iq0gpn4;10.10.13.22"
37;"2022-05-26 09:17:00";"FM-Ausgang";"UPDATE `lvweestab_nachrichten` SET\
            `03_datum`        = \"2022-05-26 09:17:00\",\
            `03_zeichen`      = \"fm2\",\
            `05_gegenstelle`  = \"\",\
            `06_befweg`       = \"\",\
            `06_befwegausw`   = \"\",\
            `x00_status`      = \"4\",\
            `x01_abschluss`   = \"f\",\
            `x02_sperre`      = \"f\",\
            `x03_sperruser`   = \"\"\
             WHERE `00_lfd` = \"7\";u4006j14l9qhijtmiv7iq0gpn4;10.10.13.22"
38;"2022-05-26 09:21:00";"FM-Eingang";"INSERT into `lvweestab_nachrichten` SET\
            `01_medium`       = \"Fu\",\
            `01_datum`        = \"2022-05-26 09:21:00\",\
            `01_zeichen`      = \"fm1\",\
            `04_richtung`     = \"E\",\
            `04_nummer`       = \"10\",\
            `05_gegenstelle`  = \"WRZ 2\",\
            `07_durchspruch`  = \"\",\
            `08_befhinweis`   = \"\",\
            `08_befhinwausw`  = \"\",\
            `09_vorrangstufe` = \"\",\
            `10_anschrift`    = \"EAL DLRG WE\",\
            `11_gesprnotiz`   = \"f\",\
            `12_anhang`       = \"\",\
            `12_inhalt`       = \"Ben&ouml;tigt 3 Digitalfunkger&auml;te\",\
            `12_abfzeit`      = \"2022-05-26 09:21:00\",\
            `13_abseinheit`   = \"WRZ 2\",\
            `14_zeichen`      = \"\",\
            `14_funktion`     = \"\",\
            `16_empf`         = \"S2_rt,\",\
            `x00_status`      = \"4\",\
            `x01_abschluss`   = \"f\";5dsqfupgl1frqgr19v02hoovv1;10.10.13.21"
39;"2022-05-26 09:43:00";"FM-Eingang";"INSERT into `lvweestab_nachrichten` SET\
            `01_medium`       = \"Fu\",\
            `01_datum`        = \"2022-05-26 09:43:00\",\
            `01_zeichen`      = \"fm2\",\
            `04_richtung`     = \"E\",\
            `04_nummer`       = \"11\",\
            `05_gegenstelle`  = \"Leiter V\",\
            `07_durchspruch`  = \"\",\
            `08_befhinweis`   = \"\",\
            `08_befhinwausw`  = \"\",\
            `09_vorrangstufe` = \"\",\
            `10_anschrift`    = \"EAL DLRG WE\",\
            `11_gesprnotiz`   = \"f\",\
            `12_anhang`       = \"\",\
            `12_inhalt`       = \"Leiter V zur&uuml;ck in Polizeischule\",\
            `12_abfzeit`      = \"2022-05-26 09:43:00\",\
            `13_abseinheit`   = \"Leiter V\",\
            `14_zeichen`      = \"\",\
            `14_funktion`     = \"\",\
            `16_empf`         = \"S2_rt,\",\
            `x00_status`      = \"4\",\
