181;4
180;2
179;2
178;6
176;1
175;4
174;4
172;3
173;1
171;4
184;2
170;5
169;5
190;1
189;2
188;1
187;1
186;4
185;3
168;5
167;3
147;5
146;2
145;1
143;1
142;4
141;4
140;2
191;3
192;3
139;4
193;1
138;4
137;4
136;4
135;4
134;7
133;2
132;4
131;2
130;4
129;2
128;2
127;3
126;2
125;2
124;3
123;1
122;3
194;4
195;1
121;4
120;3
119;2
118;2
117;4
116;2
115;5
196;3
114;4
113;2
112;3
111;2
110;5
109;3
108;2
107;1
106;3
105;2
104;2
103;4
102;1
101;1
201;5
202;4
100;5
99;4
98;3
97;5
96;5
95;1
203;1
204;2
208;3
207;4
206;4
205;3
210;1
94;2
209;4
85;2
220;1
219;4
218;4
212;3
227;3
230;2
228;2
226;1
225;3
231;2
235;2
234;3
233;2
232;2
224;3
229;2
223;3
222;2
221;2
217;3
216;2
215;1
214;3
236;7
239;3
240;7
237;2
213;4
93;5
92;5
241;1
242;3
243;4
91;1
90;2
89;5
88;3
87;4
86;3
244;2
238;2
245;5
246;2
247;1
249;2
248;3
250;3
251;7
252;2
253;3
254;3
255;4
257;4
259;7
256;5
261;1
275;1
276;2
277;3
284;2
283;4
286;3
285;3
282;3
281;2
280;2
279;2
278;5
274;4
273;5
272;2
271;1
270;7
269;3
268;2
267;2
266;2
265;1
264;4
287;7
263;1
262;4
260;4
258;1
290;7
291;5
289;5
293;4
294;1
295;7
296;4
297;3
298;5
299;7
301;4
300;2
302;4
303;7
304;5
305;3
306;1
308;1
307;1
310;7
309;1
311;1
312;1
314;1
313;2
315;3
316;3
318;6
320;6
321;3
319;1
317;1
323;6
322;1
328;1
324;1
325;1
326;2
327;7
329;2
331;2
332;1
333;6
334;7
335;1
336;6
337;6
338;3
339;6
340;1
341;1
342;6
343;4
344;2
345;5
346;6
347;3
348;6
349;1
350;2
351;5
352;3
353;6
354;4
355;6
357;4
356;1
358;1
359;1
360;6
364;6
365;1
363;3
361;5
366;6
367;2
362;7
368;7
369;7
370;3
371;1
372;6
373;7
374;1
375;7
376;7
377;6
378;5
379;7
380;2
382;6
394;7
396;3
395;6
393;7
392;7
390;4
388;7
397;1
387;1
383;7
386;5
385;7
384;5
398;5
400;4
401;3
402;4
403;2
404;3
409;6
406;1
408;4
410;7
411;4
412;3
413;2
414;7
415;6
416;4
417;1
419;4
420;7
418;1
421;6
422;7
423;7
424;4
425;6
426;4
427;2
428;3
429;1
430;5
431;4
432;4
433;4
434;4
435;6
436;5
437;4
438;4
439;4
443;6
441;4
440;4
442;4
444;5
445;4
446;4
447;3
448;4
449;2
450;2
451;4
453;6
454;2
455;4
456;3
457;5
458;5
459;3
463;1
470;1
469;3
468;1
471;3
467;2
466;6
465;5
464;6
462;3
461;2
460;4
472;3
478;7
476;7
475;4
474;4
473;1
482;7
481;6
480;1
479;3
483;1
484;5
485;2
486;7
487;4
489;6
490;7
492;7
491;7
493;1
495;6
497;6
499;7
501;2
